year,BOLSPPOPTOTL,BOLSPPOP1564TO,BOLNYGDPMKTPKN,BOLNECONPRVTKN,BOLNECONGOVTKN,BOLNEGDIFTOTKN,BOLNEGDISTKBKN,BOLNEEXPGNFSKN,BOLNEIMPGNFSKN,BOLNYGDPDISCKN,BOLNYGDPMKTPCN,BOLNECONPRVTCN,BOLNECONGOVTCN,BOLNEGDIFTOTCN,BOLNEGDISTKBCN,BOLNEEXPGNFSCN,BOLNEIMPGNFSCN,BOLNVAGRTOTLKN,BOLNVINDTOTLKN,BOLNVSRVTOTLKN,BOLNVAGRTOTLCN,BOLNVINDTOTLCN,BOLNVSRVTOTLCN,BOLNYGDPMKTPCD,BOLBXGSRMRCHCD,BOLBXGSRNFSVCD,BOLBMGSRMRCHCD,BOLBMGSRNFSVCD,BOLBNCABFUNDCD,BOLBXFSTREMTCD,BOLBMFSTREMTCD,BOLBFCAFFFDICD,BOLFIRESTOTLCD,BOLPANUSATLS,BOLFPCPITOTLXN,BOLGGREVTOTLCN,BOLGGREVTAXTCN,BOLGGEXPTOTLCN,BOLGGEXPINTPCN,BOLGGBALOVRLGD,BOLGGDBTTOTLGD,BOLGGREVTOTLGD,BOLGGEXPTOTLGD,BOLGGREVTAXTGD,BOLLMEMPTOTL,BOLLMUNRTOTL_,BOLLMPRTTOTL_,BOLFMLBLPOLYFR,BOLFMLBLMTWOCN,BOLNVOILTOTLGD,BOLBXGOILSHRPC,BOLNEGDIFGOVKN,BOLNEGDIFPRVKN,BOLNEGDIFGOVCN,BOLNEGDIFPRVCN,BOLNYGDPFCSTKN,BOLNYGDPFCSTCN,BOLNYTAXNINDKN,BOLNYTAXNINDCN,BOLNYGDPMKTPXN,BOLNYGDPFCSTXN,BOLNECONPRVTXN,BOLNECONGOVTXN,BOLNEGDIFTOTXN,BOLNEEXPGNFSXN,BOLNEIMPGNFSXN,BOLNVAGRTOTLXN,BOLNVINDTOTLXN,BOLNVSRVTOTLXN,BOLLMLBFTOTL,BOLSPPOPWORK,BOLNYYWBTOTLCN,BOLNEWRTTOTLXN,BOLGGEXPINTECN,BOLGGEXPINTDCN,BOLGGEXPCAPTCN,BOLGGEXPWAGECN,BOLGGEXPGNFSCN,BOLGGBALOVRLCN,BOLGGEXPTRNSCN,BOLGGREVDRCTCN,BOLGGREVIDRTCN,BOLGGDBTTOTLCN,BOLGGDBTEXTLCN,BOLGGDBTDOMTCN,BOLNEGDIKSTKKN,BOLNYGDPTFP_ACT,BOLLMPRTSTRL_,BOLLMUNRSTRL_,BOLLMEMPSTRL,BOLNYGDPTFP,BOLNYGDPPOTLKN,BOLNYGDPGAP_,BOLXMKT_USD,BOLGGBALPRIMCN
2005,9360754.0,5455596.0,178668971387.08,123076380390.174,26512952293.6052,24026227760.7709,1463881902.51415,46787829524.4176,47468395782.8974,,77023817400.0,51080251800.0,12304214000.0,10006046200.0,972637300.0,27380536700.0,24719868700.0,16417149067.5072,52006894331.0967,90501985064.4965,9083204300.0,20233555600.0,36062703000.0,9549122905.32852,2622226566.01204,657166440.36676,2182590109.27999,681954426.19,622439173.907653,337040056.699114,66719820.04045,-238620000.0,1794984952.80819,8.06606249999999,73.0420445177246,17694210367.11,12489538389.62,20013216364.48,2007900402.01,-3.6902011920666,73.0,22.9723882357329,25.9831530558235,16.2151641027597,3682185.882255605,2.598,69.294,16.6150416666666,39688299830.2696,7.33080300030145,47.8301459653094,9610491104.30836,14415736656.46254,4002418480.0,6003627720.0,158926028463.1004,65379462900.0,19742942923.979584,11644354500.0,0.4310978946262058,0.4113829781833368,0.4150288758742053,0.4640831343014078,0.4164634706550766,0.5852063876079283,0.5207647802773742,0.5532753745884823,0.38905525623555,0.3984741657798976,3780400.69224,6273935.399999999,35958704595.0,9765.586460011276,,,,,,,,3497070749.0936007,8992467640.5264,56227386702.0,30925062686.1,25302324015.9,350471303820.2211,278.99562209847386,69.12451379957668,2.487981191758598,3677328.602415396,282.7824766170147,179363581902.69952,-0.3872639630916552,14323684357.99278,
2006,9521689.0,5586802.0,187239737709.483,128087090422.12,27380829283.7134,26259484698.9325,-920956945.653177,52092087708.3294,49917953342.9124,,91747795300.0,57594546500.0,13169692000.0,13116888400.0,-395752800.0,38324626900.0,30062205700.0,17116433599.4161,55613205944.6026,94088720751.3007,10034959200.0,25370327400.0,39572461800.0,11451844902.2214,3661955400.56369,687399685.94,2632100969.94311,824794485.0,1317472316.56231,602974070.716,73240336.466,280763457.0,3193982720.12097,8.01161666666666,76.1699941455487,21289078629.731,15428463542.931,21962623252.461,2810887455.95,12.1637589143791,48.0,23.2039130315004,23.9380392527656,16.8161681623874,3762215.835101685,2.575,69.121,11.8912833333333,48959127538.4958,6.90511113358437,48.8382325972114,10503793879.573,15755690819.3595,5246755360.0,7870133040.0,166818360295.3194,74977748400.0,20421377414.163605,16770046900.0,0.4900017294531454,0.4494574114459974,0.4496514544142827,0.4809822180160761,0.4995105026007318,0.7357091755389943,0.6022323370008195,0.5862762906603586,0.4561924990490906,0.4205866705808405,3861653.41042,6424822.3,41237761620.0,10961.03026180725,,,,,,,,4319969792.02068,11108493750.91032,44038941744.0,24221417959.2,19817523784.8,359207223328.1426,285.7582039665414,68.89035747271546,2.495459339968527,3752723.431829833,287.26780536399144,185896482781.93195,0.7225822175058516,17177767353.3321,
2007,9685960.0,5720169.0,195786078842.585,133427911343.598,28412578106.5369,29579640296.6515,-1301381964.8206,53701299696.3655,52100554108.4793,,103009182400.0,65127854900.0,14481703000.0,16625263500.0,-981614500.0,43053364300.0,35297388800.0,17029861137.5121,59504974501.3833,98357448651.9094,10312409600.0,29141081800.0,43788762500.0,13120108008.3477,4262826733.64491,691908732.930005,3243473509.09,896731585.55,1591246147.31376,1055366581.7028,78912289.447,366294241.538303,5313631986.14594,7.85124516125,82.8010561907833,23965710532.4254,17475369491.8954,22467377441.946,2142386179.88,1.24212165104943,36.0,23.2656060110864,21.8110433637866,16.9648657379261,3840791.76860996,2.614,68.947,12.8608083333333,62148803498.1762,4.87482833139779,47.5095338694939,11831856118.6606,17747784177.9909,6650105400.0,9975158100.0,174892284290.8048,83242253900.0,20893794551.78018,19766928500.0,0.5261312908913252,0.4759629862320723,0.4881126763071742,0.5096933810687241,0.5620509016765166,0.8017192236208363,0.6774858617915427,0.6055486604811239,0.4897251371702136,0.4452002680037994,3943884.92043,6578194.35,45783239645.0,11920.2608220465,,,,,,,,4893103457.730713,12582266034.164688,37083305664.0,20395818115.2,16687487548.8,370826502458.3869,291.2215741576267,68.65935920023068,2.5046507712045294,3829062.9402082623,291.99610444794286,193189364086.00555,1.3441292531111593,19680162012.52155,
2008,9850858.0,5853589.0,207823981739.027,140743647145.104,29523794559.8298,35102960276.8376,421079437.584103,54869053002.6296,57016056343.2616,,120693764200.0,75100239300.0,16024963300.0,20818126000.0,366936700.0,54199412800.0,45815914000.0,17475188630.3361,65800511052.2891,102311686040.062,12603330600.0,35890269900.0,48876175300.0,16674276285.8956,6271446254.13459,751626542.9,4764087001.0,1014028000.0,1992699060.96837,1134718446.9388,105883449.600716,512335605.237139,7719766413.09899,7.23832069891666,94.3988434471963,,,,,,33.0,,,,3920900.084469891,2.603,68.773,13.8733333333333,77494309364.576,5.13358898631882,51.1866049934702,14041184110.73504,21061776166.10256,8327250400.0,12490875600.0,185587385722.6872,97369775800.0,22236596016.339813,23323988400.0,0.5807499365090601,0.5246572951110706,0.5335959442814004,0.5427812901056978,0.5930589852200205,0.9877956668470748,0.8035616094555569,0.7212128502075916,0.5454405950050966,0.4777184033587487,4025688.76297,6731627.35,53553376690.00001,13658.439525688773,,,,,,,,,,39828942186.0,21905918202.300003,17923023983.7,387388137612.3051,299.6868188734955,68.44397292481688,2.518412365980666,3905530.4701864542,296.7770583248784,201363701901.88177,3.208264337677469,25011414428.8434,
2009,10016275.0,5987066.0,214800631921.311,145913367849.917,30651614071.6315,36117086043.6085,669655117.405499,48967524843.9688,51195232862.969,,121726745200.0,79733207300.0,17904500700.0,20059667800.0,598895800.0,43483988500.0,40053514900.0,18118614439.3221,67706259513.4275,107332007092.926,13575462600.0,35579126300.0,52961512800.0,17339992193.7322,4709830000.0,720130000.0,4143570000.0,1012220000.0,813540000.0,1057930000.0,103470000.0,423040000.0,8574579206.49636,7.02,97.5578575098271,,,,,,38.0,,,,3984906.2006739634,2.973,68.598,12.359625,85343106224.9766,1.99901854108232,39.5433516744626,14446834417.4434,21670251626.165096,8023867120.0,12035800680.0,193156881045.6756,102116101700.0,21643750875.635406,19610643500.0,0.5666964017340171,0.5286692410189245,0.5464421010555501,0.5841291312802632,0.5554065955315319,0.8880168772785297,0.7823680577292944,0.749255007631142,0.525492422055068,0.493436340514409,4107007.53468,6885125.899999999,56163855935.00001,14094.147542419209,,,,,,,,,,46256163176.0,25440889746.800003,20815273429.2,404135816775.29834,301.20924267561946,68.25952899716631,2.5406944970989533,3982911.396507868,301.4126061479045,210832524987.6392,1.8821132716142497,26009988290.5983,
2010,10182345.0,6120745.0,223664858124.54,151717227551.548,31592227003.4226,38812785639.8201,641041538.276246,53792113948.785,56847729269.1384,,137875568000.0,85894379100.0,19069871000.0,22849077400.0,599445900.0,56787439100.0,47324644500.0,17905162729.2538,70308280070.2529,112871018498.618,14325141500.0,41561130900.0,60048161000.0,19649723722.1034,6129300487.3046,707694436.83,5006774120.3598,1148813465.0,873745670.09457,960212746.785506,101784071.7,621997989.548348,9730683978.92494,7.01666666666666,99.9999999999999,,,,,,35.0,,,,4078672.8899056497,2.609,68.422,9.90992714868377,96125106678.5504,2.81120414194023,43.2688115125649,15525114255.92804,23287671383.89206,9139630960.0,13709446440.0,201084461298.1247,115934433400.0,22580396826.415314,21941134600.0,0.6164382243867241,0.5765459581092017,0.5661478296577507,0.6036254107041593,0.5886997550765312,1.0556833507987216,0.8324808239208191,0.8000564818433796,0.5911271170119878,0.5320069030894342,4187936.1439,7038856.749999999,63763938370.00001,15633.501408708224,,,,,,,,,,48256448800.0,26541046840.000004,21715401960.0,422741811576.3535,303.44398279495863,68.12464803872311,2.5762934137016025,4062311.3549547535,305.7337846756137,220346420564.3945,1.5060092883041554,29474585583.1551,
2011,10348929.0,6255273.0,235304584104.038,159611689151.863,33880475249.8994,48016836503.4647,1361374516.82978,56262869621.7961,66517651935.5174,,166231562900.0,100909769400.0,22901891200.0,31526855900.0,1412846600.0,73294325100.0,63814125300.0,18452321802.6623,73729745718.3541,118007110061.943,16240135300.0,50483040600.0,68176869600.0,23963164696.592,8174835184.8045,948038341.618849,7126366595.22007,1650733456.0,537204935.340689,1042996646.64181,117258563.539464,858941070.400943,11994673114.8231,6.93696249999999,109.884464198238,,,,,,31.0,,,,4172769.3988048094,2.255,68.247,10.9153923412969,118201478340.89,3.57882129837961,45.3581817460597,19206734601.38588,28810101902.07882,12610742360.0,18916113540.0,210189177582.95935,134900045500.0,25115406521.078613,31331517400.0,0.7064527175828503,0.6418030036144768,0.6322204215506366,0.675961332628237,0.6565791958769535,1.3027121722139454,0.9593562527111116,0.880113379426153,0.6847038479265076,0.5777352700546039,4269036.16431,7193563.949999999,74195025025.0,17780.763309434595,,,,,,,,,,51531784499.0,28342481474.45,23189303024.55,449621557501.00055,306.63079555892887,68.06133538095972,2.634328419959835,4145267.8489821777,309.56959703187584,230221602519.46436,2.2078647394281337,35944747044.888,
2012,10515807.0,6390348.0,247357533356.379,166962681693.293,35535623687.036,49229573137.8201,-1660872873.87039,63743347448.7334,69365209958.9408,,187153877600.0,111363573400.0,25152783000.0,34366836800.0,-1291147000.0,88273365900.0,70711534600.0,19217989561.3814,77566576757.8229,124365044935.846,18363841500.0,54900129500.0,75691563400.0,27084497481.9103,11132827855.4157,1125167106.49696,7997488634.57405,1921422621.98738,1970039110.21655,1110532146.98188,147112672.285848,1059965390.7848,13924289443.0799,6.91,114.8464102656,,,,,,30.0,,,,4260040.745404824,2.066,68.07,11.1349478606742,141095336029.238,3.58582706729094,50.0146584363154,19691829255.12804,29537743882.69206,13746734720.0,20620102080.0,221149611255.0503,148955534400.0,26207922101.328705,38198343200.0,0.7566128068165973,0.6735509664912349,0.6669967939576616,0.7078188136367551,0.6980933331229322,1.3848247610622466,1.0194092202972662,0.9555547650469218,0.707780745196585,0.6086240988297449,4349909.883599999,7348900.199999999,81925543920.0,19231.164398690456,,,,,,,,,,56146163280.0,30880389804.000004,25265773476.0,476370052763.7706,310.5078428838674,68.09456987496135,2.724245885907857,4232934.969669887,312.72614832175424,241879064664.4579,2.2649619137237176,40626746222.86545,
2013,10682608.0,6527026.0,264167979591.566,176858917920.538,38836965375.3175,55002735766.6245,-506545008.358956,66353571596.8442,75038848507.56,,211856031700.0,127509169700.0,29324083000.0,40379933000.0,-89731500.0,93412577400.0,78679999800.0,20118375748.7867,83407392221.3459,132237384610.736,21115647200.0,60417511800.0,85191085100.0,30659338885.6729,11538700931.3342,1213954465.82258,8729181721.16208,2331501739.0316,1053982417.12107,1201339478.59818,172158814.237793,1749612614.3979,14429068711.377,6.91,121.434460016488,,,,,,32.0,,,,4323400.696195673,2.437,67.893,11.0513992821175,166645874523.672,3.31838837807072,54.5398474110676,22001094306.6498,33001641459.974697,16151973200.0,24227959800.0,235763152580.8686,166724244100.0,28404827010.69742,45131787600.0,0.8019746830314322,0.7071683690809669,0.7209654520067196,0.7550559812440102,0.7341440827840136,1.4078002909558938,1.0485235496660528,1.0495701772183792,0.7243663923656127,0.6442284483376236,4431393.76218,7506079.899999999,91698334255.0,21209.769970127654,,,,,,,,,,67793930144.0,37286661579.200005,30507268564.8,507554285892.2066,319.6752632014936,68.2511870180036,2.8516988973802766,4327736.017380399,314.9801556355828,253105519210.6301,4.37069109177739,45989008328.50935,
2014,10848888.0,6666920.0,278593055730.687,186444888011.765,41446473934.7839,60452450424.9489,386747254.043936,73563193342.7745,86356805766.3942,,228003659200.0,143499688800.0,33532604500.0,47839840900.0,117986000.0,98709824800.0,95696285800.0,20886909561.258,87774957313.668,139271274802.667,22208052400.0,62987150600.0,94542516800.0,32996188017.3661,12809705325.3416,1191842304.71472,9893765587.48859,3024822580.46397,566230700.557408,1176966248.36875,180137043.898414,656566350.80003,15129277524.0077,6.91,128.437100493446,,,,,,38.0,,,,4423332.056231088,2.021,67.716,9.69422821628935,192715687688.522,3.03332355757079,51.740358250386,24180980169.97956,36271470254.96934,19135936360.0,28703904540.0,247933141677.593,179737719800.0,30659914053.094025,48265939400.0,0.8184111359200882,0.7249443079042943,0.7696627691446541,0.8090580769974212,0.791363138528068,1.3418371377660625,1.1081499014550196,1.0632521931914962,0.7175981911892296,0.6788371610294871,4514571.5472,7666957.999999999,98855745890.00002,22348.7055986998,,,,,,,,,,86641390496.0,47652764772.8,38988625723.200005,542629022022.5452,323.058877945387,68.55777660861246,3.015758081352622,4432851.103283967,316.08615300931626,264818502080.428,5.201507274622208,49494282026.04915,
2015,11014705.0,6807096.0,292124841917.212,196139114740.907,45246058153.9668,63471694444.3796,-1298636193.73213,69209208845.0516,81688721886.6611,,228031369900.0,156018420400.0,39894677000.0,48732720000.0,-2485046500.0,70389398300.0,84518799200.0,21955503604.8893,90075688742.8839,147622864571.298,23349258700.0,57469415100.0,104840615400.0,33000198248.9146,8684018275.65134,1243394801.36305,9071898887.29365,2835251387.9661,-1936209393.39835,1190958193.96266,210175743.521405,554643532.297183,13049620686.0687,6.91,133.651146397122,,,,,,43.0,,,,4454352.1136745075,3.111,67.538,8.07325379670779,218038615945.278,1.14024731448316,46.1471961581206,25388677777.75184,38083016666.62776,19493088000.0,29239632000.0,259654056919.0712,185659289200.0,32470784998.140778,42372080700.0,0.7805956124903064,0.7150255667211322,0.79544776474644,0.8817271300019838,0.76778665555722,1.0170524916357684,1.0346446516480632,1.0634808984659463,0.6380124970683632,0.7101922571714133,4597376.49648,7828160.399999999,102112609060.00002,22924.233750296124,,,,,,,,,,98053489057.0,53929418981.350006,44124070075.65,578969265365.7975,327.74948003498173,69.03734657513381,3.2113470758266196,4548523.177745798,315.84562555456864,276585845519.3157,5.618145920923889,49500297373.3719,
2016,11180020.0,6945218.0,304580814000.124,202802851858.032,45955116069.0692,65639346046.5692,1308583949.05216,65254357141.0433,78263784879.9889,,234533182000.0,161615430600.0,40945394400.0,48479144300.0,907356500.0,57432498600.0,74846642300.0,22643469027.4368,93686251533.2624,155844454694.321,26201754900.0,59398715600.0,116802995000.0,33941126193.9219,7029946630.03064,1244740246.41451,7930773107.40541,2857927957.17761,-1907244254.76485,1246634759.3559,222250464.340478,335365530.426077,10053627485.0797,6.91,138.493613869075,,,,,,48.0,,,,4514584.928466152,3.498,67.359,7.95202606117997,218044047269.261,0.788114698375915,31.1663267980126,26255738418.62768,39383607627.94152,19391657720.0,29087486580.0,272174175255.0202,202403465500.0,32406638745.10382,32129716500.0,0.7700195521832984,0.7436541887574497,0.7969090627637504,0.8909866387555254,0.7385683621163054,0.880132777583927,0.95633813793661,1.1571440254252416,0.6340174212105291,0.7494844473555485,4678229.39262,7987000.699999999,111321906025.00002,24658.281500714187,,,,,,,,,,112575927360.0,61916760048.00001,50659167312.0,615660148144.0768,329.9584606389027,69.7044870798274,3.4234419379904684,4675395.357277091,314.12978563231445,287543917336.3588,5.924972025694442,50911689290.88285,
2017,11344587.0,7081896.0,317358607600.0,212397001077.191,48224355942.1507,73365902399.3101,3306821778.72952,62008275240.6996,82631440399.6843,-6.45808411,317358607600.0,212397001100.0,48224355900.0,73365902400.0,3306821800.0,62008275200.0,82631440400.0,24364055761.0512,95793499160.0881,163473426476.71,24364055800.0,95793499200.0,163473426500.0,45927439594.7902,8133837886.97646,1454951845.50222,8680869448.02264,3081140402.42899,-1898241784.31147,1407996988.86426,232927804.367505,712474137.775022,10245969449.673,6.91,142.402953510878,104283816843.02,46680052332.99999,124561857717.032,2040575982.1080005,,53.0,,,,4682933.990941608,3.655,68.634,8.10989203240817,239826990837.713,1.02986757658124,33.2474626156162,29346360959.724045,44019541439.58606,29346360960.0,44019541440.0,283630981397.8493,283630981500.0,33727626202.150696,33727626100.0,1.0,1.0000000003601537,1.0000000001073883,0.9999999991259456,1.0000000000094036,0.9999999993436424,1.0000000000038207,1.0000000015986172,1.0000000004166452,1.0000000001424696,4860588.50064,8144180.399999999,155997039825.0,33311.81693501371,1768699516.1079998,271876466.0000004,40749554030.0,32078882881.0,35024390840.0,-20278040874.012005,12469648116.0,13070414653.24,33609637679.759995,168200062028.0,92510034115.4,75690027912.6,658243043136.183,326.95767550761985,70.55879481920168,3.636015254274099,4815212.404693723,310.9288841483322,297374027253.0803,6.7203516499145355,68891159392.1853,
2018,11508368.0,7217995.0,326460719200.0,219030959381.824,49861186154.4756,76585181517.874,3334792539.88636,63181473866.9532,86250631730.2934,37.18858337,334541008400.0,221159477000.0,53788348400.0,76353295000.0,3311757700.0,68096019400.0,88891347700.0,25080027983.0501,98202468447.6807,168159727944.829,24924489400.0,101651921700.0,175069420300.0,48414038842.2576,8940200488.77685,1458805538.29214,9301944791.5431,3089472122.59663,-1724978180.94975,1388281653.93941,251815643.315126,302368781.37636,8929614182.53613,6.91,145.638433874571,107691496961.94,48673327502.99999,130361705566.5912,2548443903.165,,55.0,,,,5000008.236896981,3.519,71.798,8.03724252665112,249733082308.431,1.4498952900262,34.8526923233055,30634072607.149597,45951108910.7244,30541318000.0,45811977000.0,291442224375.5598,301645831400.0,35018494824.440186,32895177000.0,1.0247511836027343,1.0350107368494812,1.0097178847418802,1.0787619097820418,0.9969721751221564,1.0777845977983322,1.0306167725004514,0.9937983090307868,1.0351259322382214,1.0410900543169168,5182376.0501,8300694.249999999,165905207270.0,33180.98679232602,2194926339.165,353517564.0,36428341886.0,37119218500.0,38154188519.0,-22670208604.651203,13401281794.0,13628531700.839998,35044795802.159996,183997554620.0,101198655041.00002,82798899579.0,701916072497.2478,315.18729498393697,71.5764116189668,3.83378519172754,4968313.830986152,306.3914587584665,307231287512.5642,6.258943170509412,72621058263.3864,
2019,11671386.0,7353733.0,331379571500.0,223162742256.462,50726137807.4083,80103180763.3763,-1944413486.12519,64092381014.5257,85611466179.3224,86398859.0836868,338981407200.0,226807135600.0,54627702200.0,77674895700.0,-1551185200.0,67957094000.0,87367486000.0,25874885015.5699,99462301015.3047,171210872745.494,25874053000.0,103262981200.0,180830288000.0,49056643589.0014,8827819915.73656,1443285122.84592,9085852594.24741,2871435057.8404,-1366094867.23347,1335620196.92987,275421573.736587,-216636843.1305,6455449941.67879,6.91,148.317518475357,107056336298.52,47825277398.00001,127461099933.5048,2644765101.5292,,58.0,,,,5252587.818006085,3.682,74.158,8.39953170954601,245833546161.457,1.0303191682966,32.0714901886577,32041272305.35052,48061908458.02578,31069958280.0,46604937420.0,296548058776.3686,309967322200.0,34831512723.63141,29014085000.0,1.022939964782953,1.0452515638746809,1.0163306531667808,1.0769142805116516,0.969685535078196,1.060299101457916,1.0205115027115577,0.9999678446659996,1.0382122688284727,1.056184604985954,5453381.31814,8456792.95,170482027210.0,32456.76857140411,2542063258.5292,102701842.99999996,31718930462.000004,37177966896.0,39030112824.0,-20404763634.984795,13143944144.0,13391077671.440004,34434199726.560005,196609216176.0,108135068896.8,88474147279.2,746923449635.7617,302.7932311600174,72.71423135664091,4.0016597648580765,5133233.25877131,300.8263350321547,316125286957.9883,4.825392074389456,73584965383.5021,
2020,11816299.0,7482810.0,289229849600.0,197884884579.59,49615818313.4137,47866956094.137,5075276140.26275,48766449430.2715,59808888104.9447,610885421.32531,292388248000.0,198525555300.0,54403676500.0,46179012000.0,4092771500.0,49331023500.0,60362621300.0,27090793572.779,79517525297.5765,153652393687.701,26677667100.0,79751072300.0,163087965000.0,42313784081.042,7013096617.01611,424590270.351746,6333861464.06692,1728570355.87811,-15915747.1054326,1126517920.43532,215679931.571257,-1129487271.3377,5247234668.79634,6.91,149.712803892505,85491587179.92761,36564902514.0,117567515966.80182,2764957375.3092003,,79.0,,,,4980032.749411847,7.903,72.264,7.59222372184479,268645239885.776,0.497346305966912,29.4701072049889,19146782437.6548,28720173656.4822,18471604800.0,27707407200.0,260260712558.0565,269516704400.0,28969137041.943512,22871543600.0,1.0109200291891312,1.0355643068481908,1.0032375930166224,1.0964986238127186,0.9647367572147804,1.011577100164648,1.0092583763484062,0.9847503000726376,1.0029370506885054,1.0614085539824183,5407377.818399999,8605231.5,148234187420.0,29765.705343505375,2438976824.3092003,325980550.99999994,16787599346.0,38498966562.0,34026362070.000004,-32075928786.874203,22164556201.0,10238172703.92,26326729810.08,230986715920.0,127042693756.00002,103944022164.0,757444233248.1106,270.431703504004,73.9313637935525,4.121399136255719,5304141.7693522265,294.63029690108885,324182796064.3335,-10.781863469829888,63470676121.563,
2021,11937360.0,7602848.0,318236852600.0,213313002942.29,51778544773.9785,57334992534.0345,2237617700.11497,67025471019.142,73391829504.8876,554479257.608322,330836236500.0,217652371900.0,56198676200.0,56384912700.0,2370334900.0,77920256300.0,79779731500.0,27994626937.7931,93978478548.1406,164622979127.397,29146735700.0,102042446000.0,173886657100.0,47877892402.3155,11145698861.1571,449143893.181477,8216070562.33978,1960590716.2119,1591562617.75109,1417462508.76988,293731382.457237,583576424.725665,4730168839.86019,6.91,150.816761737338,99728610923.66002,42927246320.0,125674292781.6242,3360851659.8580003,,84.0,,,,5613278.998881312,5.089,77.79,8.01711817014333,190763171152.764,1.26335187425347,21.4767656503189,22933997013.6138,34400995520.4207,22553965080.0,33830947620.0,286596084613.3307,305075838800.0,31640767986.66931,25760397700.0,1.0395912157786342,1.064480134861583,1.0203427306252115,1.0853660805902536,0.983429319652034,1.1625469409643765,1.0870383261761718,1.041154638880061,1.085806533330167,1.056272083166677,5914255.4592,8743275.2,167791711340.0,29891.92437672165,2204643683.8580003,1156207976.0,20956219644.999996,39479007784.0,44037367167.0,-25945681857.96421,14246679467.0,12019628969.6,30907617350.4,277902438660.0,152846341263.0,125056097397.0,776907014119.7396,275.43254546033467,75.20135637746372,4.171566870861896,5478937.785374441,288.2197972582396,324873741268.6681,-2.0429132384631288,71816838603.47325,
2022,12077154.0,7732083.0,330162517100.0,225847608723.964,52627301576.9224,59640875403.2821,1803402720.21443,74404968352.0063,84483959901.1618,749361664.568794,352127256300.0,237731838000.0,57689369700.0,61202075100.0,1870012800.0,97870219700.0,104690750600.0,28475585557.7253,95854140385.8572,173535353832.714,30495223300.0,112748584900.0,186128716600.0,50959081953.6903,13794787927.9197,888122518.825347,10755744304.5643,2709212343.45289,1154275493.20957,1459221074.91624,319306430.893004,6236980.0828294,3752070996.50723,6.91,153.450518176398,117727542368.0,49455127364.99999,139301597838.41238,4592686493.372,,82.0,,,,5836714.104464813,3.552,78.267,7.76498872156728,200498496606.203,,22.7288338190063,23856350161.31284,35784525241.96925,24480830040.0,36721245060.0,297865079776.2965,329372524800.0,32297437323.70349,22754731500.0,1.0665270527767006,1.1057775723403571,1.0526205672186737,1.0961871114687245,1.026176673064594,1.3153721030695251,1.2391790195733985,1.0709252400861264,1.1762515885712903,1.0725694360782867,6051669.40161,8891895.45,181154888640.0,31037.135860642033,2724148190.372,1868538303.0,20957257092.0,41128150923.99999,56122130523.0,-21574055470.412395,15213760216.0,13847435662.2,35607691702.799995,288744350166.0,158809392591.30002,129934957574.7,797702538817.0347,276.38005367753647,76.48108291820115,4.168542542255481,5667070.678676363,281.769303062607,327270600142.1132,0.8836470360096493,76438622930.53545,
2023,12244159.0,7873868.0,338470614100.0,231711175446.23,54804644407.5865,61416153077.3798,2245327038.38589,68336574165.0061,81067139595.4669,-248826666.634079,361670830000.0,249430323400.0,60952582800.0,64044874300.0,2230920600.0,81024427200.0,98394415600.0,30393959884.9489,96331957773.5067,179023954934.152,33675099000.0,107677384700.0,194570955900.0,52340206946.4544,10793376159.7197,1111040406.34534,10531914109.1752,2490219579.24719,-1171249704.06945,1448643182.89681,332201491.417086,240143401.66707,1799951502.87318,6.91,157.40476617273,110087179097.585,50872501262.99999,144234135800.2384,6635180944.07777,,83.0,,,,5984910.437190783,3.024,78.38,8.68601452432374,202759698749.475,,19.7390284484517,24566461230.95192,36849691846.42788,25617949720.0,38426924580.0,305749872592.6076,335923439600.0,32720741507.392395,25747390400.0,1.068544254459696,1.098687095930852,1.0764708388347968,1.1121791493927191,1.0428017889578367,1.1856670924760977,1.213739822214006,1.1079536568275832,1.1177742795715664,1.0868431320912693,6171537.738399999,9054948.2,184757891780.0,30870.619321535287,4333360671.3516,2301820272.72617,21656410336.0,43046595717.0,54529809230.0,-34146956702.65342,17632020399.0,14244300353.64,36628200909.35999,300186788900.0,165102733895.0,135084055005.0,819233564953.5626,276.1250304974032,77.75330366181677,4.137880055306731,5868863.513732365,275.32540875521187,329897812946.2564,2.5986232152257926,78510310419.6816,
