year,BOLSPPOPTOTL,BOLSPPOP1564TO,BOLNYGDPMKTPKN,BOLNECONPRVTKN,BOLNECONGOVTKN,BOLNEGDIFTOTKN,BOLNEGDISTKBKN,BOLNEEXPGNFSKN,BOLNEIMPGNFSKN,BOLNYGDPDISCKN,BOLNYGDPMKTPCN,BOLNECONPRVTCN,BOLNECONGOVTCN,BOLNEGDIFTOTCN,BOLNEGDISTKBCN,BOLNEEXPGNFSCN,BOLNEIMPGNFSCN,BOLNVAGRTOTLKN,BOLNVINDTOTLKN,BOLNVSRVTOTLKN,BOLNVAGRTOTLCN,BOLNVINDTOTLCN,BOLNVSRVTOTLCN,BOLNYGDPMKTPCD,BOLBXGSRMRCHCD,BOLBXGSRNFSVCD,BOLBMGSRMRCHCD,BOLBMGSRNFSVCD,BOLBNCABFUNDCD,BOLBXFSTREMTCD,BOLBMFSTREMTCD,BOLBFCAFFFDICD,BOLFIRESTOTLCD,BOLPANUSATLS,BOLFPCPITOTLXN,BOLGGREVTOTLCN,BOLGGREVTAXTCN,BOLGGEXPTOTLCN,BOLGGEXPINTPCN,BOLGGBALOVRLGD,BOLGGDBTTOTLGD,BOLGGREVTOTLGD,BOLGGEXPTOTLGD,BOLGGREVTAXTGD,BOLLMEMPTOTL,BOLLMUNRTOTL_,BOLLMPRTTOTL_,BOLFMLBLPOLYFR,BOLFMLBLMTWOCN,BOLNVOILTOTLGD,BOLBXGOILSHRPC,BOLNYGDPMKTPXN,BOLNEGDIFGOVKN,BOLNEGDIFPRVKN,BOLNEGDIFGOVCN,BOLNEGDIFPRVCN,BOLNYGDPFCSTKN,BOLNYGDPFCSTCN,BOLNYTAXNINDKN,BOLNYTAXNINDCN,BOLNYGDPFCSTXN,BOLNECONPRVTXN,BOLNECONGOVTXN,BOLNEGDIFTOTXN,BOLNEEXPGNFSXN,BOLNEIMPGNFSXN,BOLNVAGRTOTLXN,BOLNVINDTOTLXN,BOLNVSRVTOTLXN,BOLLMLBFTOTL,BOLSPPOPWORK,BOLNYYWBTOTLCN,BOLNEWRTTOTLXN,BOLFIRESGRSCD,BOLFIRESMONTHS,BOLRES_SCARCITY,BOLGGREVTAXHYDROCN,BOLGGREVHYDRCN,BOLGGEXPCRNTCN,BOLGGEXPWAGESCN,BOLGGEXPGSCN,BOLGGEXPINTECN,BOLGGEXPINTDCN,BOLGGEXPCAPEXCN,BOLGGEXPTRNSCN,BOLGGBALOVRLCN,BOLGGBALPRIMCN,BOLGGFINEXTNCN,BOLGGFINDOMNCN,BOLGGREVDRCTCN,BOLGGREVIDRTCN,BOLGGEXPFUELCN,BOLGGREVIDHCN,BOLGGREVIEHDCN,BOLGGDBTTOTLCN,BOLGGDBTEXTLCN,BOLGGDBTDOMTCN,BOLNYGDPGAP_STR,BOLGGBALSTRPGD,BOLNEGDIKSTKKN,BOLNYGDPTFP_ACT,BOLLMPRTSTRL_,BOLLMUNRSTRL_,BOLLMEMPSTRL,BOLNYGDPTFP,BOLNYGDPPOTLKN,BOLNYGDPGAP_,BOLGGFINBCBCN,BOLGGFINBCBGD,BOLGGEXPFUELGD,BOLXMKT_USD
1990,7130142.0,3966055.0,106000145693.88,77892584544.9792,16101197362.5566,13555276150.7216,-19157960.1770541,18462131909.3134,20931239671.2734,,15443135928.0,11869886152.0,1815415000.0,1939424556.0,-4100536.0,3517480312.0,3694969556.0,10301098559.8122,30742676125.3866,52964439005.5423,2371077205.0,4923974890.0,7121414173.0,4867582597.51312,830800000.0,145900000.0,775600000.0,310600000.0,-198900000.0,4599999.905,7700000.0,27200000.0,510931171.639825,3.17265,26.34,4752700000.0,1073000000.0,5427200000.0,561800000.0,-4.368283767915819,70.0,30.77548512270014,35.143121353739595,7.23622459330852,,,69.002,41.8133333333333,3779600000.0,2.75361755081365,,0.1456897613386169,5422110460.28864,8133165690.43296,775769822.4000001,1163654733.6,94008213690.74107,14416466268.0,11991932003.1389,1026669660.0,0.1533532624651912,0.1523878841784446,0.1127503103726779,0.1430752523545422,0.1905240591540554,0.176528940188434,0.2301771205500656,0.1601674125543642,0.1344565203882326,2736657.2710999995,4560963.25,7929056447.400001,,,,0.0,0.0,1861400000.0,4150800000.0,1578700000.0,1366000000.0,462100000.0,99700000.0,1276500000.0,393000000.0,-674600000.0,,378100000.0,296500000.0,300440000.0,772560000.0,0.0,0.0,0.0,10810195149.599998,,10810195149.599998,,,207926474183.2725,,69.25603285717841,,,,,,0.0,0.0,0.0,7301373896.26968
1991,7280289.0,4055020.0,111582671634.805,80481251289.2334,16639111624.6063,16139951263.3933,901218883.51691,19808722933.7706,23566339295.7512,,19132128300.0,14891257800.0,2310153000.0,2771102000.0,209256800.0,4109456200.0,5159097400.0,11316775072.062,32038130092.5259,55260846246.3995,2973533700.0,5855625100.0,8917330800.0,5343262457.10226,760300000.0,157000000.0,804200000.0,311200000.0,-262600000.0,3400000.095,8600000.0,52000000.0,422359443.149442,3.58060833333333,31.98,6197000000.0,1365300000.0,7009200000.0,714500000.0,-4.245215102388792,75.0,32.39054172556432,36.63575682795312,7.93272957509908,2728793.01945627,2.935,69.329,41.1475,5697100000.0,1.37366238218404,,0.1714614645777336,6455980505.35732,9683970758.035978,1108440800.0,1662661200.0,98615751410.9874,17746489600.0,12966920223.817596,1385638700.0,0.1799559334699015,0.1850276624860592,0.1388387224101371,0.1716920921740997,0.2074568973345604,0.2189180650950798,0.2627545109861585,0.1827705013709912,0.1613679739944447,2811304.8158,4663273.0,9760569280.0,3576.881504169509,,,0.0,0.0,2555200000.0,5349300000.0,1958500000.0,1716200000.0,568900000.0,145600000.0,1659900000.0,418000000.0,-812200000.0,,621900000.0,190400000.0,382284000.00000006,983016000.0,0.0,0.0,0.0,14349096225.0,,14349096225.0,,,213670101737.50217,256.7014001612202,69.4210178069379,2.9993202382160025,2730604.2071266426,256.61093032263227,110224178727.03217,1.232481768938487,0.0,0.0,0.0,8014893685.653389
1992,7430336.0,4145535.0,113419878296.005,83342802929.9752,17253478004.3621,18087477445.6957,221613207.553922,20029155461.7488,25905064603.6769,,22014006000.0,17488916500.0,2833313000.0,3591710600.0,85582900.0,4412875200.0,6398392000.0,10837496767.8745,32614273507.2713,57565103407.7882,3170942400.0,6639617900.0,10460944200.0,5643868748.68126,608400000.0,164600000.0,1040800000.0,311000000.0,-533900000.0,3799999.952,8900000.0,93100000.0,479572082.597047,3.90051666666666,35.84,7297700000.0,1951100000.0,8260400000.0,694800000.0,-4.373125000511038,80.0,33.15025897603553,37.52338397654657,8.89978861639267,2785205.236830075,3.03,69.285,45.5116666666666,7661100000.0,1.42097317088114,16.4779970409837,0.1940930137708973,7234990978.278281,10852486467.41742,1436684240.0,2155026360.0,101016873682.934,20271504500.0,12403004613.071,1742501500.0,0.2006744394369899,0.20984315243986,0.1642169190051808,0.1985744342063975,0.2203225796727976,0.246993863859804,0.2925899280911065,0.2035801256931174,0.1817237107331366,2872233.92475,4767365.25,11149327475.0,4003.0541834286446,,,0.0,0.0,2490400000.0,6053600000.0,2481500000.0,1760900000.0,536500000.0,158300000.0,2206900000.0,483300000.0,-962700000.0,,845600000.0,117100000.0,546308000.0,1404792000.0,0.0,0.0,0.0,17611204800.0,,17611204800.0,,,221074074096.32272,254.08305267104265,69.58346242812567,2.912920147851918,2800580.496821768,258.15487628962563,113828616260.4165,-0.3590819056224048,0.0,0.0,0.0,8465803123.021891
1993,7579195.0,4235469.0,118262108755.566,86113882155.05,17690470149.5468,18562920255.5496,-104710730.325048,21091621802.7389,25716370897.3394,,24458969300.0,19413422200.0,3270271000.0,4075936400.0,-24607700.0,4666958500.0,6943011200.0,11286553562.7158,34383629679.5439,60024535639.4507,3582740600.0,7002221900.0,11969203800.0,5734699488.84934,715500000.0,181400000.0,1111700000.0,321700000.0,-505500000.0,4199999.809,9500000.0,123800000.0,572438127.381548,4.26508333333333,38.9,7620500000.0,2278800000.0,9104500000.0,690300000.0,-6.067303907201029,82.0,31.156259720232775,37.223563627433805,9.51634540053983,2854690.8583116,3.05,69.52,53.8766666666666,10243100000.0,1.3937400044077,12.7383036713833,0.2068199997224287,7425168102.21984,11137752153.32976,1630374560.0,2445561840.0,105694718881.7104,22554166300.0,12567389873.85562,1904803000.0,0.2133897184138574,0.2254389386956878,0.1848606041758465,0.2195740941558724,0.2212707274788116,0.2699840979785495,0.3174344214194214,0.2036498753988699,0.1994051877701378,2944498.0488,4870789.35,12404791465.000002,4345.406238606441,,,0.0,0.0,2407700000.0,6858900000.0,2928000000.0,1820000000.0,559800000.0,130500000.0,2245600000.0,565200000.0,-1484000000.0,,1235200000.0,248900000.0,638064000.0000001,1640736000.0,0.0,0.0,0.0,20056354826.0,,20056354826.0,,,228583290647.05615,257.4649449363445,69.73990621410063,2.825876855105676,2870341.0156147755,259.699726955005,117862848518.24762,0.3387498625205598,0.0,0.0,0.0,8602049233.27401
1994,7727322.0,4324443.0,123781714887.19298,88640144016.8474,18244597227.2771,17074517498.9897,-414265701.740249,24275718880.5231,25550598645.1026,,27636341900.0,21444454300.0,3749673000.0,4104405000.0,-132732400.0,5986946900.0,7516404800.0,12039631885.9903,35991854448.1907,62618860548.297,4212963200.0,7775029500.0,13354324700.0,5981222858.82727,985100000.0,196000000.0,1015300000.0,337500000.0,-90200000.0,4500000.0,9800000.0,130200000.0,793388690.272345,4.62051666666666,41.96,9248700000.0,2865900000.0,10074100000.0,669000000.0,-2.986647085879336,65.0,33.46571711070053,36.452364196579865,10.0454684272089,2925492.6086087995,3.08,69.8,55.5733333333333,12723100000.0,1.32063764470926,9.52179302499781,0.2232667557174018,6829806999.5958805,10244710499.39382,1641762000.0,2462643000.0,110650346882.478,25342317400.0,13131368004.71498,2294024500.0,0.2290306186470082,0.2419271148287412,0.2055223775723558,0.2403819024603686,0.2466228468646276,0.2941772482282212,0.3499245857261083,0.2160219199372443,0.2132636171126111,3018461.2139999997,4973109.449999999,13938274570.000002,4764.419684050497,,,0.0,0.0,2549900000.0,7595600000.0,3353200000.0,1880900000.0,614200000.0,54800000.0,2478500000.0,871000000.0,-825400000.0,,1013600000.0,-188200000.0,802452000.0000001,2063448000.0,0.0,0.0,0.0,17963622235.0,,17963622235.0,,,234228643613.69305,262.97171625643097,69.88390403394041,2.738717956116601,2939323.085703517,261.2056687809706,121923843057.43275,1.5237969729063217,0.0,0.0,0.0,8971834288.240904
1995,7874676.0,4414011.0,129572565886.25,91252401560.458,19454287910.6036,19430922219.2453,-635542520.799411,26489249296.9572,27829624959.8279,,32235072900.0,24440155400.0,4375144000.0,5007243800.0,-93328200.0,7269467200.0,8763609200.0,12208635651.0345,38506816721.5762,64915903481.6424,4789905900.0,9394189100.0,15063715000.0,6715161732.22658,1041400000.0,192400000.0,1223700000.0,350200000.0,-302500000.0,5400000.0,9200000.0,392700000.0,1005482847.42788,4.80034166666666,46.24,10444800000.0,3608200000.0,11027700000.0,861300000.0,-1.8079686117291205,68.0,32.40197418632176,34.210253019157896,9.72232949409585,3011147.1813569157,2.664,70.085,51.0175,13697400000.0,1.67539093460871,12.9404641892439,0.2487800768590068,7772368887.69812,11658553331.54718,2002897520.0,3004346280.0,115631355854.25311,29247810000.0,13941210031.996887,2987262900.0,0.2529401284273206,0.2678302705689068,0.2248935566341299,0.257694603658111,0.274430849983923,0.3149021667611504,0.3923375254133435,0.2439617163871204,0.2320496857023622,3093559.6093499996,5076112.649999999,16086295500.000002,5342.248163622152,,,0.0,0.0,2842600000.0,8381100000.0,3567300000.0,2189200000.0,774000000.0,87300000.0,2646500000.0,996100000.0,-582800000.0,,1161200000.0,-578400000.0,1010296000.0,2597904000.0,0.0,0.0,9600000.0,21919849572.0,,21919849572.0,,,241948133652.2537,267.01486739804517,70.00681169458163,2.6542122784729587,3008090.3332013777,262.6105404095359,125519192216.22617,3.229285974882057,0.0,0.0,0.0,10072742598.33987
1996,8021736.0,4504346.0,135223668561.107,94232596491.6259,19961168998.6565,21709841142.219,161975732.289215,27567006620.1621,30039369150.121,,37536646800.0,28200555400.0,5002609000.0,6072066400.0,22842000.0,8476477000.0,10237903000.0,13027137070.9401,39685300515.4374,68490681399.5311,5324453000.0,10493326900.0,17833808000.0,7396949126.35685,1131990000.0,180940000.0,1368000000.0,363420000.0,-379690000.0,10700000.0,13000000.0,474100000.0,1301661210.80997,5.0746125,51.98,11428700000.0,4334100000.0,12145300000.0,834900000.0,-1.9088012944192976,64.0,30.44677927917632,32.35584697991724,12.2938525238754,3093152.4718883247,2.375,70.341,55.9666666666666,19154161924.68,2.08266621438735,13.0738735089195,0.2775893244091166,8683936456.887602,13025904685.3314,2428826560.0,3643239840.0,121203118985.9086,33651587900.0,14020549575.198397,3885058900.0,0.2776462205061936,0.2992653970062904,0.2506170355221532,0.279691885363071,0.3074863047988834,0.3408161785567578,0.4087201179357639,0.264413441846513,0.2603829840145537,3168402.01986,5179997.899999999,18508373345.0,5983.660202078854,,,0.0,47400000.0,3337000000.0,9084700000.0,3999500000.0,2114200000.0,655800000.0,179100000.0,3060500000.0,1294100000.0,-716500000.0,,941400000.0,-224900000.0,1213548000.0,3120552000.0,0.0,0.0,47400000.0,24023453952.0,,24023453952.0,,,251560568111.86,269.8005485331351,70.09914596262155,2.578541470201849,3076090.4220058913,263.8698409574689,129558014358.58012,4.373063473206651,0.0,0.0,0.0,11095423689.535275
1997,8167900.0,4595614.0,141922931371.563,99348482207.8886,20631889990.4661,27520052805.7989,714587743.386781,26985282713.5221,34106431464.2868,,41643866100.0,31113364500.0,5789967000.0,7899404700.0,276106200.0,8791271200.0,12226247600.0,13620492742.7532,41159215191.5572,73617220432.4445,6212539900.0,11008601600.0,20497255400.0,7925736821.45034,1090000000.0,323840000.0,1643600000.0,418740000.0,-553500000.0,84900000.0,12000000.0,730600000.0,1359051283.44007,5.25425833333333,54.43,12684900000.0,5361300000.0,14049400000.0,661500000.0,-3.2763528648460425,61.0,30.460428360660774,33.73702135690999,12.6203460249816,3179717.82667008,2.08,70.66,50.05,22786656415.59,1.64557088716868,8.41558907225538,0.293425915724456,11008021122.31956,16512031683.47934,3159761880.0,4739642820.0,128396928366.7549,37718396900.0,13526003004.80809,3925469200.0,0.2937640127360415,0.313174029522612,0.2806319247861207,0.2870417711675129,0.3257802148426174,0.3584733751111497,0.4561171183256486,0.2674638364401599,0.2784301727176658,3247260.8524,5284956.1,20745118295.0,6524.201022178458,,,0.0,1223400000.0,2345800000.0,11031600000.0,4478300000.0,2900100000.0,606100000.0,55400000.0,3017700000.0,2049500000.0,-1364400000.0,,1140800000.0,223700000.0,1501164000.0000002,3860136000.0,0.0,0.0,38500000.0,25402758321.0,,25402758321.0,,,266502592512.06583,271.7522857469136,70.15220548771167,2.517985056545644,3142746.637626386,264.98311281142304,133976153947.53252,5.931486454778034,0.0,0.0,0.0,11888605232.17551
1998,8313394.0,4688349.0,149060739069.545,104567479796.1,21416066102.3344,35560518791.8334,788318962.169434,28734584620.4824,41715834197.7204,,46822325700.0,35144093500.0,6657606000.0,10840874200.0,212243500.0,9223382400.0,15255874000.0,13017216449.8351,44073695687.654,78175943194.4955,5911520600.0,12236263000.0,24215181500.0,8497494652.12546,1032000000.0,323200000.0,1759500000.0,440500000.0,-666100000.0,88400000.0,15100000.0,949300000.0,1218866920.23489,5.51013333333333,58.61,14653900000.0,6622700000.0,16832200000.0,663800000.0,-4.6522678389723815,64.0,31.296822148242843,35.949089987215224,13.5465291507295,3234767.9261649563,2.121,70.491,39.4116666666666,25845352199.0,1.24033297671521,7.28497112896233,0.3141157490045371,14224207516.73336,21336311275.100037,4336349680.0,6504524520.0,135266855331.9846,42362965100.0,13793883737.560425,4459360600.0,0.31318067531051,0.3360900881280563,0.3108696979261894,0.304857031570913,0.3209854091096012,0.3657094312843364,0.4541309290493426,0.2776318801744516,0.3097523420952474,3304864.09359,5391601.35,23299630805.0,7202.875549907947,,,0.0,2193600000.0,2351100000.0,13548200000.0,5006700000.0,4048500000.0,570400000.0,93400000.0,3284000000.0,2844800000.0,-2178300000.0,,1278300000.0,900000000.0,1854356000.0,4768344000.0,0.0,0.0,207500000.0,29966288448.0,,29966288448.0,,,288737981678.29596,272.723641613351,70.15970745987727,2.4767871480447003,3207862.1922748988,266.00920543380846,139598563644.65118,6.778132366017631,0.0,0.0,0.0,12746241978.18819
1999,8459806.0,4783299.0,149697057635.436,107456053270.121,22103569309.5875,30128225734.7922,-188212166.055499,25055179493.8408,34565378874.9126,,48156174800.0,37001622000.0,7126099000.0,9196540100.0,-156734200.0,8129195400.0,13140547400.0,13343571214.4637,43209281398.9297,81545021902.5567,6384541600.0,12108338700.0,26110334500.0,8285064434.56826,1005500000.0,305100000.0,1539000000.0,449700000.0,-488000000.0,96000000.0,32100000.0,1010500000.0,1248580099.5968,5.81240833333333,59.87,15703300000.0,6390400000.0,17375900000.0,760900000.0,-3.473074858927541,71.0,32.60910997440769,36.08239249102485,12.0397851865925,3286379.794871288,2.299,70.322,35.3691666666666,26680306596.57,1.83148099301924,5.26722651510801,0.3216908572597125,12051290293.91688,18076935440.875317,3678616040.0,5517924060.0,138097874515.9501,44603214800.0,11599183119.4859,3552960000.0,0.3229826306620555,0.3443419041920888,0.3223958492943051,0.3052466541161034,0.3244516927926364,0.3801650040508409,0.478473228597117,0.2802254124110456,0.320195321440969,3363711.52278,5500793.85,24531768140.000004,7464.678360755562,,,0.0,2231800000.0,2604700000.0,13937700000.0,4992000000.0,4300800000.0,555900000.0,205000000.0,3438200000.0,2603400000.0,-1672500000.0,,923800000.0,748700000.0,1789312000.0000002,4601088000.0,0.0,0.0,200500000.0,34190884108.0,,34190884108.0,,,304429308329.17334,265.1243356316191,70.12044701426647,2.454812004673917,3271734.5120926257,267.0746600163903,146888358293.77393,1.9121320261778152,0.0,0.0,0.0,12427596651.85239
2000,8606326.0,4880705.0,153451176627.565,109930929813.183,22562997756.6471,27447138728.5681,132103032.335827,28823631642.0256,36179553863.4206,,65830000000.0,39655456200.0,7550039000.0,9288698100.0,132936800.0,9489799500.0,14188437500.0,13807311049.8779,44260681289.2965,82992735999.5596,6732950600.0,13365886100.0,27086846400.0,8397855484.76908,1139092096.03,330932000.0,1610160000.0,467680000.0,-446349903.97,126870000.0,37000000.0,736350000.0,1184108227.67536,6.18354166666666,62.63,17498700000.0,7031200000.0,19434600000.0,938700000.0,-2.940908400425338,74.3,26.581649703782467,29.522406197782164,12.3308028811412,3340402.9537346764,2.439,70.152,34.5958333333333,27094684561.77,3.20071915897547,12.1942402416879,0.4289963846922677,10978855491.42724,16468283237.14086,3715479240.0,5573218860.0,141060728338.734,47185683100.0,12390448288.830994,18644316900.0,0.3345061638040843,0.3607306539423492,0.3346203851735856,0.33842136303745,0.3292367741115463,0.3921672874563897,0.4876366278472114,0.3019810294522568,0.3263761107977418,3423912.1716000005,5612810.75,25952125705.000004,7769.160207448836,1085.0,5.674318437107673,0.0814203907230817,2650500000.0,4012400000.0,15757700000.0,5078600000.0,5554300000.0,648600000.0,290100000.0,3676900000.0,2944400000.0,-1936000000.0,,1018800000.0,917200000.0,1968736000.0,5062464000.0,0.0,0.0,1387400000.0,48911690000.0,26026526874.99997,22885163125.00003,0.91,-4.27,316654981641.2828,264.61655079691985,70.03653221142868,2.448366014927745,3334584.608626019,268.37316211272906,152749904864.0381,0.4590980034659297,0.0,0.0,0.0,12596783227.15362
2001,8752736.0,4982127.0,156034986200.326,111326215935.477,23208915269.0626,21559990628.9599,839227623.20137,31238252672.2653,34356098175.892,,68008000000.0,40499252900.0,8458061000.0,7491256800.0,183780700.0,10743084300.0,13585109100.0,14285165667.8223,44352448395.7609,84376421963.3404,7130259400.0,13673864900.0,28322638400.0,8141516928.39489,1188657425.88972,332040844.082,1580000000.0,399443800.0,-274011530.02828,135280000.0,36380000.0,705756000.0,1146023735.30062,6.60691666666666,63.63,16394099999.999998,6889500000.0,20062400000.0,1137500000.0,-5.393924244206564,83.0,24.10613457240324,29.50005881660981,11.7825460461138,3395090.29144933,2.623,69.981,20.0570612222166,34145254293.2672,2.70191454521148,22.4397697760694,0.4358509694273804,8623996251.58396,12935994377.37594,2996502720.0,4494754080.0,143014036026.92358,49126762700.0,13020950173.402405,18881237300.0,0.3435100782048517,0.3637890011771599,0.3644315514941176,0.3474610415617511,0.3439079775911469,0.3954206042388364,0.4991373264967512,0.3083001140768344,0.3356700573568471,3486542.2958699996,5729446.05,27019719485.000004,7958.468601866127,1077.0,6.285396044408646,0.0,2718700000.0,2985900000.0,15569700000.0,5362700000.0,4547500000.0,608200000.0,529299999.99999994,4492600000.0,3354900000.0,-3668300000.0,,1617900000.0,2050400000.0,1929060000.0,4960440000.0,0.0,0.0,1299900000.0,56446640000.0,21102491833.333313,35344148166.66669,-0.67,-6.42,322382223188.1785,264.5372091353795,69.91208664177061,2.452197447253897,3397696.236212534,270.0788940325376,158090580684.75165,-1.3002637320465804,0.0,0.0,0.0,12212275392.592335
2002,8900355.0,5090632.0,159913338356.362,113602461857.98,24011268714.4853,25550276793.7907,895937584.149183,33016721499.2706,38855032453.4799,,70344000000.0,41842207100.0,9050972000.0,8870584300.0,365616000.0,12262912900.0,15709963800.0,14349064286.2639,45540670125.5426,85521142944.9304,7343262900.0,14439012200.0,29644603900.0,7905485146.44351,1184341415.90552,370970703.156367,1638700000.0,433295000.0,-351932880.938109,112900000.0,37880000.0,676543000.0,892729137.789947,7.17,64.22,15708400000.0,7448500000.0,20716100000.0,1189600000.0,-7.118872967132947,86.7,22.33083134311384,29.449704310246787,13.1841049760332,3461265.5609148243,2.603,69.81,20.6324567427483,32164317428.9323,3.20143436722118,24.9742676784933,0.4398882589971359,10220110717.51628,15330166076.27442,3548233720.0,5322350580.0,145410877356.7369,51426879000.0,14502460999.625092,18917121000.0,0.3536659700761883,0.3683213058561089,0.3769468455675485,0.3471815343368708,0.3714152206260367,0.4043224984771052,0.511759007660839,0.317057525947593,0.3466347955509556,3553770.1992,5854226.8,28284783450.000004,8171.803911666413,854.0,4.677169275208642,0.3307076811978395,2610500000.0,1812600000.0,15941500000.0,5715000000.0,3652300000.0,588300000.0,601300000.0,4774600000.0,3541000000.0,-5007700000.0,,3389300000.0,1618500000.0,2085580000.0,5362920000.0,0.0,0.0,1301500000.0,60988248000.0,25682940000.0,35305308000.0,-1.6,-7.88,331813388822.5603,264.7910034018074,69.75238857358474,2.460960909950809,3463452.6927693207,272.32847197237066,162401535405.03668,-1.53212655438818,0.0,0.0,0.0,11858227719.665264
2003,9050700.0,5206741.0,164249132403.906,115742639876.451,24869140410.6278,22779189596.8411,442466270.550935,37032562875.9302,39210565659.1571,,74659000000.0,43960301200.0,10227321500.0,7839531500.0,351709900.0,15847993500.0,16322409100.0,15599276728.3706,45948315469.6156,86558193432.3102,8312057000.0,15845366300.0,31749587500.0,8082399639.54305,1492659721.64642,468545313.986,1497372825.0,550740000.0,75594887.4166634,158166413.296793,45781410.2461145,197400000.0,1096941369.79827,7.65916666666666,66.36,17838100000.0,8166700000.0,22717900000.0,1627400000.0,-6.536117547783925,95.7,23.89276577505726,30.428883322841184,12.9730003183325,3529690.3854231653,2.654,69.639,17.6632890518186,36738375247.1356,3.57840976144804,30.1389419296459,0.4545473020606624,9111675838.73644,13667513758.104658,3135812600.0,4703718900.0,148105785630.2964,55907010800.0,16143346773.60962,18751989200.0,0.3774802622468498,0.3798107702306189,0.4112454765677934,0.3441532222501517,0.4279475215662325,0.4162757875488114,0.5328488714404789,0.3448519524176706,0.3668004869444122,3625922.36499,5987752.149999999,30748855940.000004,8711.48814269544,1096.0,6.1714762436630695,0.0,2831200000.0,2726900000.0,17653600000.0,7068300000.0,4666900000.0,758800000.0,868600000.0,5064400000.0,3692400000.0,-4879800000.0,,3284300000.0,1595500000.0,2286676000.0,5880024000.0,0.0,0.0,1068900000.0,71448663000.0,32038294166.666637,39410368833.33336,-2.51,-6.38,338001908978.2734,266.8297987976436,69.56340540874578,2.4710190368443783,3532486.378182764,275.2030952798114,168073732439.02576,-2.2755489389201577,0.0,0.0,0.0,12123599459.314575
2004,9204287.0,5328768.0,171103734201.755,119110747536.499,25652090805.2495,22524582322.6933,-1243367096.83687,43187577130.8584,41353607471.9963,,81221000000.0,47281175700.0,11320186800.0,8137288100.0,-463304600.0,21680451000.0,18329683900.0,15637936956.5407,48844381483.3096,88549647615.6168,9275857900.0,18687404700.0,34315208600.0,8773451751.5121,2044256550.86625,517758635.338,1724732878.03138,606221071.0,337499451.331106,210558668.516465,50586782.9261628,65430000.0,1271422924.6815,7.93626666666666,69.3,19850700000.0,10800000000.0,23710400000.0,1847100000.0,-4.752096132773544,89.8,24.440354095615664,29.192450228389212,15.0163488014671,3604934.889339456,2.615,69.467,14.4698833333333,34861567995.9744,5.08868092656529,37.5739969111581,0.4746886465039342,9009832929.07732,13514749393.615978,3254915240.0,4882372860.0,153031966055.4671,62278471200.0,18071768146.287903,18942528800.0,0.4069638050485929,0.396951380777051,0.4412968473385963,0.3612625523271862,0.5020066519200235,0.4432426823321867,0.5931637866157462,0.3825906712809044,0.3875250723634511,3701735.26656,6128083.199999999,34253159160.000004,9501.74142154238,1123.0,5.8347503526779265,0.0413124118305183,3479900000.0,1189900000.0,17305800000.0,7568600000.0,2928100000.0,776900000.0,1070200000.0,6404500000.0,4401500000.0,-3859700000.0,,2824600000.0,1035100000.0,3024000000.0000005,7776000000.0,0.0,0.0,1018100000.0,72936458000.0,36340165066.66664,36596292933.33336,-2.29,-4.17,343626395852.053,272.7262690642552,69.35168066339261,2.480154852660993,3603933.807800345,278.70858861673736,173536651874.73737,-1.4019618603328232,0.0,0.0,0.0,13160177627.26815
2005,9360754.0,5455596.0,178668971387.07996,123076380390.174,26512952293.6052,24026227760.7709,1463881902.51415,46787829524.4176,47468395782.8974,,89389000000.0,51080251800.0,12304214000.0,10006046200.0,972637300.0,27380536700.0,24719868700.0,16417149067.5072,52006894331.0967,90501985064.4965,9083204300.0,20233555600.0,36062703000.0,9549122905.32852,2622226566.01204,657166440.36676,2182590109.27999,681954426.19,622439173.907653,337040056.699114,66719820.04045,-238620000.0,1794984952.80819,8.06606249999999,73.04,24368100000.0,12433900000.0,26088300000.0,2061500000.0,-1.924397856559532,82.2,27.26073677969325,29.185134636252783,16.2151641027597,3682185.882255605,2.598,69.294,16.6150416666666,39688299830.2696,7.33080300030145,47.8301459653094,0.5003051134510755,9610491104.30836,14415736656.46254,4002418480.0,6003627720.0,158926028463.1004,65379462900.0,19742942923.979553,24009537100.0,0.4113829781833368,0.4150288758742053,0.4640831343014078,0.4164634706550766,0.5852063876079283,0.5207647802773742,0.5532753745884823,0.38905525623555,0.3984741657798976,3780400.69224,6273935.399999999,35958704595.0,9765.586460011276,1714.0,6.711312892208031,0.0,6904700000.0,618200000.0,18255700000.0,8007100000.0,2393900000.0,944600000.0,1116900000.0,7832600000.0,4915400000.0,-1720200000.0,,1728200000.0,-8000000.0,3481492000.0000005,8952408000.0,0.0,2328100000.0,1528600000.0,73477758000.0,37023226874.999954,36454531125.000046,-2.08,-0.99,350471303820.2212,278.99562209847375,69.12451379957668,2.487981191758598,3677328.602415396,282.76704368020427,179353793082.47733,-0.3818272720234272,0.0,0.0,0.0,14323684357.992779
