year,BOLSPPOPTOTL,BOLSPPOP1564TO,BOLNYGDPMKTPKN,BOLNECONPRVTKN,BOLNECONGOVTKN,BOLNEGDIFTOTKN,BOLNEGDISTKBKN,BOLNEEXPGNFSKN,BOLNEIMPGNFSKN,BOLNYGDPDISCKN,BOLNYGDPMKTPCN,BOLNECONPRVTCN,BOLNECONGOVTCN,BOLNEGDIFTOTCN,BOLNEGDISTKBCN,BOLNEEXPGNFSCN,BOLNEIMPGNFSCN,BOLNVAGRTOTLKN,BOLNVINDTOTLKN,BOLNVSRVTOTLKN,BOLNVAGRTOTLCN,BOLNVINDTOTLCN,BOLNVSRVTOTLCN,BOLNYGDPMKTPCD,BOLBXGSRMRCHCD,BOLBXGSRNFSVCD,BOLBMGSRMRCHCD,BOLBMGSRNFSVCD,BOLBNCABFUNDCD,BOLBXFSTREMTCD,BOLBMFSTREMTCD,BOLBFCAFFFDICD,BOLFIRESTOTLCD,BOLPANUSATLS,BOLFPCPITOTLXN,BOLGGREVTOTLCN,BOLGGREVTAXTCN,BOLGGEXPTOTLCN,BOLGGEXPINTPCN,BOLGGBALOVRLGD,BOLGGDBTTOTLGD,BOLGGREVTOTLGD,BOLGGEXPTOTLGD,BOLGGREVTAXTGD,BOLLMEMPTOTL,BOLLMUNRTOTL_,BOLLMPRTTOTL_,BOLFMLBLPOLYFR,BOLFMLBLMTWOCN,BOLNVOILTOTLGD,BOLBXGOILSHRPC,BOLNEGDIFGOVKN,BOLNEGDIFPRVKN,BOLNEGDIFGOVCN,BOLNEGDIFPRVCN,BOLNYGDPFCSTKN,BOLNYGDPFCSTCN,BOLNYTAXNINDKN,BOLNYTAXNINDCN,BOLNYGDPMKTPXN,BOLNYGDPFCSTXN,BOLNECONPRVTXN,BOLNECONGOVTXN,BOLNEGDIFTOTXN,BOLNEEXPGNFSXN,BOLNEIMPGNFSXN,BOLNVAGRTOTLXN,BOLNVINDTOTLXN,BOLNVSRVTOTLXN,BOLLMLBFTOTL,BOLSPPOPWORK,BOLNYYWBTOTLCN,BOLNEWRTTOTLXN,BOLGGEXPCRNTCN,BOLGGEXPWAGECN,BOLGGEXPGNFSCN,BOLGGEXPINTECN,BOLGGEXPINTDCN,BOLGGEXPCAPTCN,BOLGGBALOVRLCN,BOLGGBALPRIMCN,BOLGGEXPTRNSCN,BOLGGREVHYDRCN,BOLGGREVTAXHCN,BOLGGFINBCBCN,BOLGGFINEXTNCN,BOLGGFINDOMNCN,BOLGGREVDRCTCN,BOLGGREVIDRTCN,BOLGGDBTTOTLCN,BOLGGDBTEXTLCN,BOLGGDBTDOMTCN,BOLFIRESGRSCD,BOLFIRESMONTHS,BOLRES_SCARCITY,BOLNEGDIKSTKKN,BOLNYGDPTFP_ACT,BOLLMPRTSTRL_,BOLLMUNRSTRL_,BOLLMEMPSTRL,BOLNYGDPTFP,BOLNYGDPPOTLKN,BOLNYGDPGAP_,BOLGGFINBCBGD,BOLGGEXPWAGESCN,BOLGGEXPGSCN,BOLGGEXPCAPEXCN,BOLGGEXPOTHERCN,BOLGGEXPFUELCN,BOLGGREVIDHCN,BOLGGREVIEHDCN,BOLEMPHYDROSALES,BOLEMPROYALTIES,BOLGASEXPGD,BOLGASPROD,BOLXMKT_USD
1990,7130142.0,3966055.0,106000145693.88,77892584544.9792,16101197362.5566,13555276150.7216,-19157960.1770541,18462131909.3134,20931239671.2734,,15443135928.0,11869886152.0,1815415000.0,1939424556.0,-4100536.0,3517480312.0,3694969556.0,10301098559.8122,30742676125.3866,52964439005.5423,2371077205.0,4923974890.0,7121414173.0,4867582597.51312,830800000.0,145900000.0,775600000.0,310600000.0,-198900000.0,4599999.905,7700000.0,27200000.0,510931171.639825,3.17265,26.335044640285,4752700000.0,1073000000.0,5427200000.0,561800000.0,-4.368283767915819,,30.77548512270014,35.143121353739595,7.23622459330852,,,69.002,41.8133333333333,3779600000.0,2.75361755081365,,5422110460.28864,8133165690.43296,775769822.4000001,1163654733.6,94008213690.74107,14416466268.0,11991932003.138916,1026669660.0,0.1456897613386169,0.1533532624651912,0.1523878841784446,0.1127503103726779,0.1430752523545422,0.1905240591540554,0.176528940188434,0.2301771205500656,0.1601674125543642,0.1344565203882326,2736657.2710999995,4560963.25,7929056447.400001,,4150800000.0,1578700000.0,1366000000.0,462100000.0,99700000.0,1276500000.0,-674600000.0,,393000000.0,1861400000.0,0.0,324600000.0,378100000.0,296500000.0,300440000.0,772560000.0,,,,,,0.0,207926474183.2724,,69.25603285717841,,,,,,2.101904700660354,,,,,,0.0,0.0,,,,,7301373896.26968
1991,7280289.0,4055020.0,111582671634.805,80481251289.2334,16639111624.6063,16139951263.3933,901218883.51691,19808722933.7706,23566339295.7512,,19132128300.0,14891257800.0,2310153000.0,2771102000.0,209256800.0,4109456200.0,5159097400.0,11316775072.062,32038130092.5259,55260846246.3995,2973533700.0,5855625100.0,8917330800.0,5343262457.10226,760300000.0,157000000.0,804200000.0,311200000.0,-262600000.0,3400000.095,8600000.0,52000000.0,422359443.149442,3.58060833333333,31.9831400506551,6197000000.0,1365300000.0,7009200000.0,714500000.0,-4.245215102388792,,32.39054172556432,36.63575682795312,7.93272957509908,2728793.01945627,2.935,69.329,41.1475,5697100000.0,1.37366238218404,,6455980505.35732,9683970758.035978,1108440800.0,1662661200.0,98615751410.9874,17746489600.0,12966920223.817596,1385638700.0,0.1714614645777336,0.1799559334699015,0.1850276624860592,0.1388387224101371,0.1716920921740997,0.2074568973345604,0.2189180650950798,0.2627545109861585,0.1827705013709912,0.1613679739944447,2811304.8158,4663273.0,9760569280.0,3576.881504169509,5349300000.0,1958500000.0,1716200000.0,568900000.0,145600000.0,1659900000.0,-812200000.0,,418000000.0,2555200000.0,0.0,193300000.0,621900000.0,190400000.0,382284000.00000006,983016000.0,,,,,,0.0,213670101737.50208,256.7014001612202,69.4210178069379,2.9993202382160025,2730604.2071266426,256.6109566824087,110224190049.5612,1.232471370062216,1.010342377852442,,,,,,0.0,0.0,,,,,8014893685.653389
1992,7430336.0,4145535.0,113419878296.005,83342802929.9752,17253478004.3621,18087477445.6957,221613207.553922,20029155461.7488,25905064603.6769,,22014006000.0,17488916500.0,2833313000.0,3591710600.0,85582900.0,4412875200.0,6398392000.0,10837496767.8745,32614273507.2713,57565103407.7882,3170942400.0,6639617900.0,10460944200.0,5643868748.68126,608400000.0,164600000.0,1040800000.0,311000000.0,-533900000.0,3799999.952,8900000.0,93100000.0,479572082.597047,3.90051666666666,35.8404102387903,7297700000.0,1951100000.0,8260400000.0,694800000.0,-4.373125000511038,,33.15025897603553,37.52338397654657,8.89978861639267,2785205.236830075,3.03,69.285,45.5116666666666,7661100000.0,1.42097317088114,16.4779970409837,7234990978.278281,10852486467.41742,1436684240.0,2155026360.0,101016873682.934,20271504500.0,12403004613.071014,1742501500.0,0.1940930137708973,0.2006744394369899,0.20984315243986,0.1642169190051808,0.1985744342063975,0.2203225796727976,0.246993863859804,0.2925899280911065,0.2035801256931174,0.1817237107331366,2872233.92475,4767365.25,11149327475.0,4003.0541834286446,6053600000.0,2481500000.0,1760900000.0,536500000.0,158300000.0,2206900000.0,-962700000.0,,483300000.0,2490400000.0,0.0,58700000.0,845600000.0,117100000.0,546308000.0,1404792000.0,,,,,,0.0,221074074096.32263,254.08305267104268,69.58346242812567,2.912920147851918,2800580.496821768,258.1548701753601,113828613564.4442,-0.3590795456783868,0.2666484237353256,,,,,,0.0,0.0,,,,,8465803123.021891
1993,7579195.0,4235469.0,118262108755.566,86113882155.05,17690470149.5468,18562920255.5496,-104710730.325048,21091621802.7389,25716370897.3394,,24458969300.0,19413422200.0,3270271000.0,4075936400.0,-24607700.0,4666958500.0,6943011200.0,11286553562.7158,34383629679.5439,60024535639.4507,3582740600.0,7002221900.0,11969203800.0,5734699488.84934,715500000.0,181400000.0,1111700000.0,321700000.0,-505500000.0,4199999.809,9500000.0,123800000.0,572438127.381548,4.26508333333333,38.8968363247954,7620500000.0,2278800000.0,9104500000.0,690300000.0,-6.067303907201029,,31.156259720232775,37.223563627433805,9.51634540053983,2854690.8583116,3.05,69.52,53.8766666666666,10243100000.0,1.3937400044077,12.7383036713833,7425168102.21984,11137752153.32976,1630374560.0,2445561840.0,105694718881.7104,22554166300.0,12567389873.855606,1904803000.0,0.2068199997224287,0.2133897184138574,0.2254389386956878,0.1848606041758465,0.2195740941558724,0.2212707274788116,0.2699840979785495,0.3174344214194214,0.2036498753988699,0.1994051877701378,2944498.0488,4870789.35,12404791465.000002,4345.406238606441,6858900000.0,2928000000.0,1820000000.0,559800000.0,130500000.0,2245600000.0,-1484000000.0,,565200000.0,2407700000.0,0.0,218100000.0,1235200000.0,248900000.0,638064000.0000001,1640736000.0,,,,,,0.0,228583290647.05612,257.4649449363445,69.73990621410063,2.825876855105676,2870341.0156147755,259.6996881030999,117862830885.5906,0.3387648735189374,0.8916974273319032,,,,,,0.0,0.0,,,,,8602049233.27401
1994,7727322.0,4324443.0,123781714887.193,88640144016.8474,18244597227.2771,17074517498.9897,-414265701.740249,24275718880.5231,25550598645.1026,,27636341900.0,21444454300.0,3749673000.0,4104405000.0,-132732400.0,5986946900.0,7516404800.0,12039631885.9903,35991854448.1907,62618860548.297,4212963200.0,7775029500.0,13354324700.0,5981222858.82727,985100000.0,196000000.0,1015300000.0,337500000.0,-90200000.0,4500000.0,9800000.0,130200000.0,793388690.272345,4.62051666666666,41.9595904151193,9248700000.0,2865900000.0,10074100000.0,669000000.0,-2.986647085879336,65.0,33.46571711070053,36.452364196579865,10.0454684272089,2925492.6086087995,3.08,69.8,55.5733333333333,12723100000.0,1.32063764470926,9.52179302499781,6829806999.5958805,10244710499.39382,1641762000.0,2462643000.0,110650346882.478,25342317400.0,13131368004.714996,2294024500.0,0.2232667557174018,0.2290306186470082,0.2419271148287412,0.2055223775723558,0.2403819024603686,0.2466228468646276,0.2941772482282212,0.3499245857261083,0.2160219199372443,0.2132636171126111,3018461.2139999997,4973109.449999999,13938274570.000002,4764.419684050497,7595600000.0,3353200000.0,1880900000.0,614200000.0,54800000.0,2478500000.0,-825400000.0,,871000000.0,2549900000.0,0.0,-240700000.0,1013600000.0,-188200000.0,802452000.0000001,2063448000.0,17963622235.0,15269078899.75,2694543335.25,,,0.0,234228643613.693,262.971716256431,69.88390403394041,2.738717956116601,2939323.085703517,261.2055967253734,121923809423.80084,1.523824979036026,-0.8709546323856994,,,,,,0.0,0.0,,,,,8971834288.240904
1995,7874676.0,4414011.0,129572565886.25,91252401560.458,19454287910.6036,19430922219.2453,-635542520.799411,26489249296.9572,27829624959.8279,,32235072900.0,24440155400.0,4375144000.0,5007243800.0,-93328200.0,7269467200.0,8763609200.0,12208635651.0345,38506816721.5762,64915903481.6424,4789905900.0,9394189100.0,15063715000.0,6715161732.22658,1041400000.0,192400000.0,1223700000.0,350200000.0,-302500000.0,5400000.0,9200000.0,392700000.0,1005482847.42788,4.80034166666666,46.2366182230716,10444800000.0,3608200000.0,11027700000.0,861300000.0,-1.8079686117291205,68.0,32.40197418632176,34.210253019157896,9.72232949409585,3011147.1813569157,2.664,70.085,51.0175,13697400000.0,1.67539093460871,12.9404641892439,7772368887.69812,11658553331.54718,2002897520.0,3004346280.0,115631355854.25311,29247810000.0,13941210031.996887,2987262900.0,0.2487800768590068,0.2529401284273206,0.2678302705689068,0.2248935566341299,0.257694603658111,0.274430849983923,0.3149021667611504,0.3923375254133435,0.2439617163871204,0.2320496857023622,3093559.6093499996,5076112.649999999,16086295500.000002,5342.248163622152,8381100000.0,3567300000.0,2189200000.0,774000000.0,87300000.0,2646500000.0,-582800000.0,,996100000.0,2842600000.0,0.0,-1094100000.0,1161200000.0,-578400000.0,1010296000.0,2597904000.0,21919849572.0,18449206723.1,3470642848.8999977,,,0.0,241948133652.25363,267.0148673980452,70.00681169458163,2.6542122784729587,3008090.3332013777,262.61043487025836,125519141771.92622,3.229327461216247,-3.39412913193691,,,,,,0.0,9600000.0,,,,,10072742598.33987
1996,8021736.0,4504346.0,135223668561.107,94232596491.6259,19961168998.6565,21709841142.219,161975732.289215,27567006620.1621,30039369150.121,,37536646800.0,28200555400.0,5002609000.0,6072066400.0,22842000.0,8476477000.0,10237903000.0,13027137070.9401,39685300515.4374,68490681399.5311,5324453000.0,10493326900.0,17833808000.0,7396949126.35685,1131990000.0,180940000.0,1368000000.0,363420000.0,-379690000.0,10700000.0,13000000.0,474100000.0,1301661210.80997,5.0746125,51.9817430329974,11428700000.0,4334100000.0,12145300000.0,834900000.0,-1.9088012944192976,64.0,30.44677927917632,32.35584697991724,12.2938525238754,3093152.4718883247,2.375,70.341,55.9666666666666,19154161924.68,2.08266621438735,13.0738735089195,8683936456.887602,13025904685.3314,2428826560.0,3643239840.0,121203118985.9086,33651587900.0,14020549575.198397,3885058900.0,0.2775893244091166,0.2776462205061936,0.2992653970062904,0.2506170355221532,0.279691885363071,0.3074863047988834,0.3408161785567578,0.4087201179357639,0.264413441846513,0.2603829840145537,3168402.01986,5179997.899999999,18508373345.0,5983.660202078854,9084700000.0,3999500000.0,2114200000.0,655800000.0,179100000.0,3060500000.0,-716500000.0,,1294100000.0,3337000000.0,47400000.0,-727300000.0,941400000.0,-224900000.0,1213548000.0,3120552000.0,24023453952.0,20019544960.0,4003908992.0,,,0.0,251560568111.85992,269.8005485331351,70.09914596262155,2.578541470201849,3076090.4220058913,263.8697025611429,129557946407.07364,4.373118215560101,-1.9375731771544389,,,,,,0.0,47400000.0,,,,,11095423689.535275
1997,8167900.0,4595614.0,141922931371.563,99348482207.8886,20631889990.4661,27520052805.7989,714587743.386781,26985282713.5221,34106431464.2868,,41643866100.0,31113364500.0,5789967000.0,7899404700.0,276106200.0,8791271200.0,12226247600.0,13620492742.7532,41159215191.5572,73617220432.4445,6212539900.0,11008601600.0,20497255400.0,7925736821.45034,1090000000.0,323840000.0,1643600000.0,418740000.0,-553500000.0,84900000.0,12000000.0,730600000.0,1359051283.44007,5.25425833333333,54.4292744812108,12684900000.0,5361300000.0,14049400000.0,661500000.0,-3.2763528648460425,61.0,30.460428360660774,33.73702135690999,12.6203460249816,3179717.82667008,2.08,70.66,50.05,22786656415.59,1.64557088716868,8.41558907225538,11008021122.31956,16512031683.47934,3159761880.0,4739642820.0,128396928366.7549,37718396900.0,13526003004.80809,3925469200.0,0.293425915724456,0.2937640127360415,0.313174029522612,0.2806319247861207,0.2870417711675129,0.3257802148426174,0.3584733751111497,0.4561171183256486,0.2674638364401599,0.2784301727176658,3247260.8524,5284956.1,20745118295.0,6524.201022178458,11031600000.0,4478300000.0,2900100000.0,606100000.0,55400000.0,3017700000.0,-1364400000.0,,2049500000.0,2345800000.0,1223400000.0,-403100000.0,1140800000.0,223700000.0,1501164000.0000002,3860136000.0,25402758321.0,20957275614.825,4445482706.174999,,,0.0,266502592512.0658,271.7522857469136,70.15220548771167,2.517985056545644,3142746.637626386,264.9829441466934,133976068670.20468,5.931553881402718,-0.9679696861766636,,,,,,0.0,38500000.0,,,,,11888605232.17551
1998,8313394.0,4688349.0,149060739069.545,104567479796.1,21416066102.3344,35560518791.8334,788318962.169434,28734584620.4824,41715834197.7204,,46822325700.0,35144093500.0,6657606000.0,10840874200.0,212243500.0,9223382400.0,15255874000.0,13017216449.8351,44073695687.654,78175943194.4955,5911520600.0,12236263000.0,24215181500.0,8497494652.12546,1032000000.0,323200000.0,1759500000.0,440500000.0,-666100000.0,88400000.0,15100000.0,949300000.0,1218866920.23489,5.51013333333333,58.6057573316524,14653900000.0,6622700000.0,16832200000.0,663800000.0,-4.6522678389723815,64.0,31.296822148242843,35.949089987215224,13.5465291507295,3234767.9261649563,2.121,70.491,39.4116666666666,25845352199.0,1.24033297671521,7.28497112896233,14224207516.73336,21336311275.100037,4336349680.0,6504524520.0,135266855331.9846,42362965100.0,13793883737.560425,4459360600.0,0.3141157490045371,0.31318067531051,0.3360900881280563,0.3108696979261894,0.304857031570913,0.3209854091096012,0.3657094312843364,0.4541309290493426,0.2776318801744516,0.3097523420952474,3304864.09359,5391601.35,23299630805.0,7202.875549907947,13548200000.0,5006700000.0,4048500000.0,570400000.0,93400000.0,3284000000.0,-2178300000.0,,2844800000.0,2351100000.0,2193600000.0,-280100000.0,1278300000.0,900000000.0,1854356000.0,4768344000.0,29966288448.0,24472468899.199997,5493819548.800003,,,0.0,288737981678.2959,272.72364161335105,70.15970745987727,2.4767871480447003,3207862.1922748988,266.00901243529626,139598462361.25745,6.7782098371547805,-0.5982188962476078,,,,,,0.0,207500000.0,,,,,12746241978.18819
1999,8459806.0,4783299.0,149697057635.436,107456053270.121,22103569309.5875,30128225734.7922,-188212166.055499,25055179493.8408,34565378874.9126,,48156174800.0,37001622000.0,7126099000.0,9196540100.0,-156734200.0,8129195400.0,13140547400.0,13343571214.4637,43209281398.9297,81545021902.5567,6384541600.0,12108338700.0,26110334500.0,8285064434.56826,1005500000.0,305100000.0,1539000000.0,449700000.0,-488000000.0,96000000.0,32100000.0,1010500000.0,1248580099.5968,5.81240833333333,59.8713581954227,15703300000.0,6390400000.0,17375900000.0,760900000.0,-3.473074858927541,71.0,32.60910997440769,36.08239249102485,12.0397851865925,3286379.794871288,2.299,70.322,35.3691666666666,26680306596.57,1.83148099301924,5.26722651510801,12051290293.91688,18076935440.875317,3678616040.0,5517924060.0,138097874515.9501,44603214800.0,11599183119.4859,3552960000.0,0.3216908572597125,0.3229826306620555,0.3443419041920888,0.3223958492943051,0.3052466541161034,0.3244516927926364,0.3801650040508409,0.478473228597117,0.2802254124110456,0.320195321440969,3363711.52278,5500793.85,24531768140.000004,7464.678360755562,13937700000.0,4992000000.0,4300800000.0,555900000.0,205000000.0,3438200000.0,-1672500000.0,,2603400000.0,2604700000.0,2231800000.0,-677700000.0,923800000.0,748700000.0,1789312000.0000002,4601088000.0,34190884108.0,27637631320.63333,6553252787.366669,,,0.0,304429308329.1733,265.12433563161915,70.12044701426647,2.454812004673917,3271734.5120926257,267.0744536513401,146888244795.08618,1.912210772392453,-1.4072961625681284,,,,,,0.0,200500000.0,,,,,12427596651.85239
