scenario,year,RealGDP_g,CPI,FiscBal_GDP,NFPSDebt_GDP,FX_LCUperUSD,NomGDP_USDbn,BCBfin_GDP,UNR,CA_GDP
baseline,2024,1.29999999999999,5.099765683173896,-8.683198487500723,95.0,6.91,54.8813274529667,11.0,3.274,-2.377847771334231
baseline,2025,3.0331358101281847,12.092068914440857,-11.978879883317287,93.04125911152923,6.91,64.31745721839506,10.0,0.7284120419214557,-1.7104322665617326
baseline,2026,7.72877573067583,15.936453129982532,-13.86414274120861,88.35858018022273,6.91,80.3305241059162,10.0,-3.9999298415088758,-1.7131300022210745
baseline,2027,4.7317412139293635,18.203980134383823,-15.685875064509908,87.059590409502,6.91,99.44684847669112,10.0,-8.63733503154036,-2.1428304929397157
orderly,2024,1.29999999999999,5.099765683173896,-8.683198487500723,95.0,6.91,54.8813274529667,11.0,3.274,-2.377847771334231
orderly,2025,13.962620466227339,26.20135938371506,-3.2994572519221057,75.01310514940877,9.3285,59.32937246362413,3.0,-4.149038753089984,-1.4054399702380211
orderly,2026,2.610142872338872,15.305412693886588,-0.08441536190138725,63.80257421022506,9.51507,68.81919208485462,0.08441536190138725,-9.147134763274046,-2.311909880843847
orderly,2027,4.846528842747588,10.850528976058182,3.765901264968874,51.405299520248505,9.7053714,78.41537520228476,-3.765901264968874,-14.243717871923046,-2.713958966825667
disorderly,2024,1.29999999999999,5.099765683173896,-8.683198487500723,95.0,6.91,54.8813274529667,11.0,3.274,-2.377847771334231
disorderly,2025,7.641029050593917,20.697578170011145,-10.883214719634273,86.08359930567873,7.9464999999999995,62.91520557274011,10.883214719634273,-1.2994447953382338,-1.6293622446808609
disorderly,2026,20.536987414810604,48.53785959535122,-9.917909188266458,63.746414445054675,11.747,76.201239098419,9.917909188266458,-13.974343210044648,-1.6908575430324941
disorderly,2027,2.443793494253277,39.66740599697059,-10.454451007312471,56.6779852120584,13.509049999999998,94.80798409634207,10.454451007312471,-21.925471137928888,-3.5092849467067895
commodity_boom,2024,1.29999999999999,5.099765683173896,-8.683198487500723,95.0,6.91,54.8813274529667,11.0,3.274,-2.377847771334231
commodity_boom,2025,4.540508241544439,12.410338771000884,-11.432479097148294,91.09981334739888,6.91,65.44371237092622,10.0,0.06955038872175079,-1.4026702076144013
commodity_boom,2026,10.658066648736542,17.05948573786258,-12.465245905477875,82.79316980277292,6.91,84.77301264372379,10.0,-6.4847797063456,-0.9482048478279292
commodity_boom,2027,8.118746236310148,20.518203303481997,-13.111344989638745,76.65041599306198,6.91,110.46158402483258,10.0,-14.157852614480593,-0.9572278352300224
