stress,year,NFPSDebt_GDP,FiscBal_GDP,BCBfin_GDP,Unidentified_gap,FX
baseline,2024,95.0,-8.683198487500723,11.0,-2.3168015124992767,6.91
baseline,2025,93.04125911152923,-11.978879883317287,10.0,1.978879883317287,6.91
baseline,2026,88.35858018022273,-13.86414274120861,10.0,3.8641427412086102,6.91
baseline,2027,87.059590409502,-15.685875064509908,10.0,5.685875064509908,6.91
fx_shock_30,2024,95.0,-8.683198487500723,11.0,-2.3168015124992767,6.91
fx_shock_30,2025,79.53698302074612,-8.519461802551493,8.519461802551493,0.0,8.983
fx_shock_30,2026,70.28560028167622,-9.944819592252362,9.944819592252362,0.0,9.881300000000001
fx_shock_30,2027,62.96169620974184,-10.553273410936509,10.553273410936509,0.0,10.869430000000003
growth_m2pp,2024,95.0,-8.683198487500723,11.0,-2.3168015124992767,6.91
growth_m2pp,2025,93.59577561623856,-12.131808196779554,10.0,2.131808196779554,6.91
growth_m2pp,2026,89.47143207113396,-14.114853655830451,10.0,4.114853655830451,6.91
growth_m2pp,2027,89.10866703843895,-16.09551917374266,10.0,6.095519173742659,6.91
commodity_rev_m,2024,95.0,-8.683198487500723,11.0,-2.3168015124992767,6.91
commodity_rev_m,2025,95.14412167132215,-12.2767703235494,10.0,2.2767703235493997,6.91
commodity_rev_m,2026,93.57491054810193,-14.597449489548767,10.0,4.597449489548767,6.91
commodity_rev_m,2027,96.08958217052171,-16.920715748104403,10.0,6.920715748104403,6.91
combined,2024,95.0,-8.683198487500723,11.0,-2.3168015124992767,6.91
combined,2025,85.67603625643169,-10.302736645551622,10.302736645551622,0.0,8.292
combined,2026,78.14069074167334,-11.75269831559998,11.75269831559998,0.0,9.1212
combined,2027,73.64898354148407,-13.117489996505668,13.0,0.11748999650566816,10.033320000000002
